1-node-1-core-500k.out:DATA, 1,7007.452000ms
1-node-2-core-500k.out:DATA, 2,6912.038000ms
1-node-4-core-500k.out:DATA, 4,6910.041000ms
1-node-8-core-500k.out:DATA, 8,6837.081000ms
2-node-1-core-500k.out:DATA, 2,6936.413000ms
2-node-2-core-500k.out:DATA, 4,7091.494000ms
2-node-4-core-500k.out:DATA, 8,6968.023000ms
2-node-8-core-500k.out:DATA, 16,6802.172000ms
3-node-1-core-500k.out:DATA, 3,7054.961000ms
3-node-2-core-500k.out:DATA, 6,7002.447000ms
3-node-4-core-500k.out:DATA, 12,6933.948000ms
3-node-8-core-500k.out:DATA, 24,7029.561000ms
