1-node-1-core-1mil.out:DATA, 1,151822.745000ms
1-node-2-core-1mil.out:DATA, 2,209306.244000ms
1-node-4-core-1mil.out:DATA, 4,104169.349000ms
1-node-8-core-1mil.out:DATA, 8,12263.835000ms
2-node-1-core-1mil.out:DATA, 2,17881.921000ms
2-node-2-core-1mil.out:DATA, 4,13695.150000ms
2-node-4-core-1mil.out:DATA, 8,110162.140000ms
2-node-8-core-1mil.out:DATA, 16,13628.514000ms
3-node-1-core-1mil.out:DATA, 3,14135.061000ms
3-node-2-core-1mil.out:DATA, 6,13830.867000ms
3-node-4-core-1mil.out:DATA, 12,13655.033000ms
3-node-8-core-1mil.out:DATA, 24,12589.976000ms
