1-node-1-core-100k.out:DATA, 1,46650.591000ms
1-node-2-core-100k.out:DATA, 2,4451.632000ms
1-node-4-core-100k.out:DATA, 4,1219.448000ms
1-node-8-core-100k.out:DATA, 8,7019.245000ms
2-node-1-core-100k.out:DATA, 2,6711.639000ms
2-node-2-core-100k.out:DATA, 4,1338.355000ms
2-node-4-core-100k.out:DATA, 8,8289.425000ms
2-node-8-core-100k.out:DATA, 16,1178.119000ms
3-node-1-core-100k.out:DATA, 3,1867.776000ms
3-node-2-core-100k.out:DATA, 6,1257.461000ms
3-node-4-core-100k.out:DATA, 12,1211.502000ms
3-node-8-core-100k.out:DATA, 24,1155.580000ms
